name	n_hab_planets	n_stars	n_planets	discovery_method	temperature	metalicity	radius	period	declination	eccentricity	
HD_125595	0	1	1	RV	584.9	None	None	9.6737	-40 23 38	0.0	
HD_125612	1	1	3	RV	224.5	None	None	502	-17 28 53	0.46	
HD_125612	1	1	3	RV	1186.0	None	None	4.1547	-17 28 53	0.27	
HD_125612	1	1	3	RV	129.4	None	None	3008	-17 28 53	0.28	
HD_126525	1	1	1	RV	185.0	None	None	948.12	-51 55 59	0.13	
HD_126614	1	3	1	RV	165.9	None	None	1244	-05 10 40.0074	0.41	
HD_12661	1	1	2	RV	291.4	None	None	263.6	+25 24 51	0.377	
HD_12661	1	1	2	RV	167.5	None	None	1708	+25 24 51	0.031	
HD_128311	1	1	2	RV	177.7	None	None	460.1	+09 44 47	0.30	
HD_128311	1	1	2	RV	140.7	None	None	910.7	+09 44 47	0.12	
HD_129445	0	1	1	RV	151.1	None	None	1840	-68 45 45	0.7	
HD_130322	0	1	1	RV	721.7	None	None	10.72	-00 16 53	0.044	
HD_131496	1	1	1	RV	321.8	None	None	883	+18 14 07	0.163	
HD_131664	0	1	1	RV	None	None	None	1951	-73 32 07.2	0.638	
HD_13189	0	1	1	RV	442.7	None	None	471.6	+32 18 59	0.27	
HD_132406	1	1	1	RV	209.0	None	None	974	+53 22 56	0.34	
HD_132563	0	3	1	RV	158.5	None	None	1544	+44 02 35.33	0.22	
HD_134060	0	1	2	RV	1336.0	None	None	3.27	-61 25 20	0.4	
HD_134060	0	1	2	RV	182.8	None	None	1160.9	-61 25 20	0.75	
HD_134606	1	1	3	RV	817.0	None	None	12.083	-70 31 11	0.15	
HD_134606	1	1	3	RV	478.2	None	None	59.519	-70 31 11	0.29	
HD_134606	1	1	3	RV	239.9	None	None	459.26	-70 31 11	0.46	
HD_134987	1	1	2	RV	313.3	None	None	258.19	-25 18 33	0.233	
HD_134987	1	1	2	RV	117.4	None	None	5000	-25 18 33	0.12	
HD_136352	0	1	3	RV	842.3	None	None	11.577	-48 19 03	0.18	
HD_136352	0	1	3	RV	630.8	None	None	27.582	-48 19 03	0.16	
HD_136352	0	1	3	RV	397.3	None	None	106.72	-48 19 03	0.43	
HD_136418	1	1	1	RV	357.4	None	None	464.3	+41 44 00	0.255	
HD_137388	1	1	1	RV	219.9	None	None	330	-80 12 17	0.36	
HD_13808	0	1	2	RV	617.8	None	None	14.182	-53 44 38	0.17	
HD_13808	0	1	2	RV	391.9	None	None	53.832	-53 44 38	0.43	
HD_13908	1	1	2	RV	None	None	None	19.382	+65 35 39.6988	0.046	
HD_13908	1	1	2	RV	None	None	None	931	+65 35 39.6988	0.12	
HD_13931	0	1	1	RV	125.6	None	None	4218	+43 46 23	0.02	
HD_139357	1	1	1	RV	456.6	None	None	1125.7	+53 55 20	0.1	
HD_141399	1	1	4	RV	None	None	None	94.35	+46 59 11	0.04	
