name	n_hab_planets	n_stars	n_planets	discovery_method	temperature	metalicity	radius	period	declination	eccentricity	
EPIC_201367065	0	1	3	transit	376	None	0.146	24.64682	-01 27 17.23	None	
EPIC_201367065	0	1	3	transit	None	None	0.138518	44.5631	-01 27 17.23	None	
EPIC_201384232	0	1	1	transit	616	None	0.247	30.93716	-01 11 54.52	None	
EPIC_201393098	0	1	1	transit	614	None	0.215	28.68077	-01 03 56.72	None	
EPIC_201403446	0	1	1	transit	852	None	0.176	19.15379	-00 54 26.14	None	
EPIC_201445392	0	1	2	transit	663	None	0.252	10.35262	-00 17 03.75	None	
EPIC_201445392	0	1	2	transit	841	None	0.200	5.06442	-00 17 03.75	None	
EPIC_201465501	1	1	1	transit	293	None	0.160	18.44878	+00 00 19.08	None	
EPIC_201505350	0	1	2	transit	861	None	0.586	7.91933	+00 36 12.87	None	
EPIC_201505350	0	1	2	transit	752	None	0.415	11.90699	+00 36 12.87	None	
EPIC_201546283	0	1	1	transit	873	None	0.378	6.77133	+01 13 50.66	None	
EPIC_201549860	0	1	1	transit	750	None	0.196	5.60822	+01 17 09.44	None	
EPIC_201565013	0	1	1	transit	523	None	1.118	8.63811	+01 30 36.9	None	
EPIC_201577035	0	1	1	transit	668	None	0.330	19.30622	+01 41 26.29	None	
EPIC_201596316	0	1	1	transit	475	None	0.205	39.84348	+01 59 12.62	None	
EPIC_201613023	0	1	1	transit	925	None	0.187	8.28186	+02 14 41.58	None	
EPIC_201617985	0	1	1	transit	497	None	0.164	7.2821	+02 19 17.31	None	
EPIC_201629650	0	1	1	transit	513	None	0.195	40.04833	+02 30 09.71	None	
EPIC_201635569	0	1	1	transit	502	None	0.472	8.36807	+02 35 39.28	None	
EPIC_201637175	0	2	1	transit	None	None		0.381071	+02 37 06.79	None	
EPIC_201702477	0	1	1	transit	526	None	0.705	40.73649	+03 40 53.7	None	
EPIC_201736247	0	1	1	transit	690	None	0.260	11.81037	+04 15 17.09	None	
EPIC_201754305	0	1	2	transit	517	None	0.203	19.07246	+04 33 26.42	None	
EPIC_201754305	0	1	2	transit	702	None	0.201	7.62016	+04 33 26.42	None	
EPIC_201828749	0	1	1	transit	519	None	0.227	33.50924	+05 53 39.56	None	
EPIC_201855371	0	1	1	transit	478	None	0.202	17.97149	+06 24 44.14	None	
EPIC_201912552	1	1	1	transit	271	None	0.206	32.94139	+07 35 18.21	None	
eps_Corona_Borealis	0	1	1	RV	None	None	None	417.9	+26 52 40	0.11	
eps_Eridani	0	1	1	RV	111.8	None	None	2502	-09 27 29	0.702	
eps_Tau	0	1	1	RV	574.9	None	None	594.9	+19 10 50	0.151	
eta_Cet	0	1	2	RV	None	None	None	403.5	-10 10 56.1570	0.13	
eta_Cet	0	1	2	RV	None	None	None	751.9	-10 10 56.1570	0.1	
Fomalhaut	0	3	1	imaging	None	None	None	320000	-29 37 20	0.8	
FU_Tau	0	1	1	imaging	2375	None	None	None	+25 03 03.05	None	
FW_Tau	0	2	1	imaging	None	None	None	None	+26 16 53	None	
gamma_Cephei	1	2	1	RV	327.2	None	None	903.3	+77 37 56	0.049	
Gamma_Leonis	1	1	1	RV	986.9	None	None	428.5	+19 50 29	0.144	
GJ_160.2	0	1	1	RV	None	None	None	5.2354	-20 51 11.2391	0.06	
GJ_180	1	1	2	RV	None	None	None	17.380	-17 46 24.2944	0.11	
GJ_180	1	1	2	RV	None	None	None	24.329	-17 46 24.2944	0.09	
GJ_229	0	2	1	RV	None	None	None	471	-21 51 52.7117	0.10	
GJ_27.1	0	1	1	RV	None	None	None	15.819	-44 15 11.5985	0.08	
