mass        radius
2.2        None
1.9        None
0.0379        None
0.0496        None
0.56        None
0.73        None
0.0084933        None
0.00754968        None
0.015099        None
0.413        None
9.9        None
1.99        None
0.714        1.38
1.23        None
2        None
0.45        None
2.3        None
4.5        None
0.0087        None
0.0097        None
0.101        None
0.246        None
0.02        None
0.33        None
1.26        None
1.82        None
1.47        None
0.65        None
0.0322        None
0.06472        None
1.33        None
2.49        None
13        None
0.21        None
10.39        None
1.0        None
0.066        None
11.1        None
1.06        None
1.45        None
3.09        None
1.9        None
7.75        None
0.71        None
13.65        None
2.5        None
1.5        None
1.08        None
6.575        None
8.1        None
6.9        None
5.3        None
4.01        None
0.95        None
0.48        None
1.35        None
1.45        None
0.62        None
5.7        None
1.16        None
0.917        None
1.7        None
2.54        None
1.6        None
7.7        None
1.373        None
0.47        None
1.8        None
0.5        None
0.0363        None
0.0498        None
0.0519        None
3.04        None
0.62        None
1.3        None
0.33        None
9.1        None
0.79        None
0.2        None
0.09        None
0.675        None
0.652        None
0.696        None
2.813        None
3.379        None
0.34        None
0.78        None
17.7        None
10.7        None
0.0961        None
10.3        None
0.0117        None
0.0187        None
0.0162        None
0.01258        None
0.020761624        None
0.029884156        None
0.0110099        None
0.01635764        None
0.02233447        None
3.28        None
2.54        None
1.56        None
0.03869211        None
0.02705302        None
1.82        None
2.17        None
0.8        None
0.0405        None
2.3        None
0.6        None
2.49        None
0.58        None
0.04        None
1.79        None
0.1872        None
0.6579        None
0.47        None
0.249        None
0.07167        None
0.35061        None
2.37        None
2.37        None
5        None
7        None
1.16        None
0.115        None
1.71        None
5.16        None
0.0413        None
0.0565        None
1.05        None
1.76        None
1.15        None
3.0        None
0.33        None
7.6        None
5.25        None
3.15        None
7.46        None
2.9        None
0.38        None
0.64        None
0.39        None
1.21        None
2.24        None
6.0        None
2.82        None
3.06        None
4.85        None
1.56        None
1.9        None
0.033        None
0.038        None
0.058        None
6.1        None
2        None
0.29        None
3.15        None
1.87        None
3.06        None
2.35        None
2.19        None
1.15        None
1.88        None
8.03        None
1.11        None
2        None
0.42        None
1.15        None
2.51        None
0.197        None
0.0487583        None
0.029        None
0.0247        None
0.0203        None
1.34        None
3.94        0.921
6.86        None
2.7        None
1.3        None
1.75        None
2.01        None
0.4        None
0.68        None
0.132        None
0.011        None
2.11        None
1.5        None
0.92        None
7        None
14.2        None
12.1        None
0.22        None
2        None
7.2        None
0.057        None
3.86        None
0.37        None
0.0263        None
0.0318        None
0.7        None
1.82        None
5        None
1.2        None
5.01        None
0.62        None
0.9        None
4        None
0.68        None
0.0284        None
0.04        None
0.023754977        0.213245
1.8        None
6.8        None
0.502        None
1.4        None
0.037182        0.230560
2.93        None
0.78        None
0.35        None
1.25        None
3.88        None
1.28        None
0.57        None
1.44        None
15.04        None
0.298        None
0.036        None
0.41        None
0.527        None
9.18        None
1.25        None
6.14        None
9        None
8.82        None
23.04        None
2.1        None
1.068        None
20.0        None
22        1.05
2.26        None
7        1.1
10        1.3
10        1.2
9        None
5.9        None
14.3        None
50        None
1.8        None
0.015099        None
0.022020        None
1.486        1.306
1.462        1.358
0.430        1.193
1.28        1.533
        0.200487
0.023089        0.120292
        0.146720
0.161        0.515
        0.112
0.028091        0.202309
0.011954        0.107534
        0.080195
        0.052856
        0.042831
        0.307109
        0.468410
None        0.28250
None        0.28524
None        0.32625
None        0.25972
None        0.14672
0.032841        0.227826
0.035137        0.233294
        0.074727
        0.086574
None        0.31440
None        0.16495
None        0.14216
None        0.09751
None        0.78828
None        0.74545
        0.215979
        0.229648
0.010475        0.133962
0.054106        0.214156
None        0.16677
None        0.20140
None        0.66525
None        0.14399
None        0.21507
None        0.21871
        0.198664
0.036805        0.165857
None        0.13670
None        0.11482
None        0.22054
None        0.23694
None        0.09933
None        0.31167
None        0.20960
1.84        1.101
0.094        0.719
None        0.69988
None        0.17862
None        0.32807
None        0.08384
0.005977        0.164035
0.009028        0.261544
0.022964        0.283415
0.025166        0.380925
0.006291        0.226003
        0.303464
None        0.19593
None        0.13943
None        0.21324
None        0.20687
None        0.53493
None        0.21324
None        0.20049
None        0.23694
None        0.156
None        0.26792
None        0.13487
None        0.15948
None        0.10115
None        0.06653
None        0.21598
None        0.06744
None        0.13852
None        0.22783
None        0.14399
None        0.24058
None        0.24241
None        0.12758
0.09406        0.10298
0.10318        0.10298
None        0.21598
None        0.23238
0.431        1.695
None        0.25608
None        0.09295
None        0.14945
0.050740        0.219624
0.025952        0.076549
None        0.14125
None        0.11665
None        0.11027
None        0.25881
None        0.16039
None        0.18226
None        0.11482
None        0.16495
None        0.10571
None        0.18682
None        0.18135
None        0.17132
None        0.13396
None        0.26792
None        0.30802
        1.406
None        0.14672
None        0.16403
None        0.12849
None        0.06288
None        0.26063
None        0.18135
None        0.19684
None        0.30711
None        0.21962
None        0.12120
None        0.12303
None        0.33809
None        0.28524
None        0.22145
None        0.13943
None        0.32807
None        0.16403
None        0.38366
None        0.36088
None        0.14672
8.4        1.136
None        0.33627
None        0.25425
None        0.28433
None        0.11391
None        0.27886
None        0.19046
None        0.25425
None        0.21780
None        0.26610
None        0.23056
None        0.20595
None        0.26883
None        0.19046
None        0.20413
None        0.23238
None        0.20960
None        0.20413
None        0.12029
None        0.19320
None        0.17315
None        0.21689
None        0.31075
0.66        0.96
None        0.32898
None        0.14034
None        0.19320
None        0.18682
None        0.27612
None        0.11482
None        0.20595
None        0.09569
None        0.24879
None        0.22327
None        0.12849
None        0.21142
None        0.20322
None        0.20687
None        0.21689
None        0.13214
None        0.12485
None        0.24514
None        0.13305
None        0.20049
None        0.11027
None        0.10298
None        0.11391
None        0.23512
0.333        0.7538
None        0.29162
None        0.26063
None        0.21324
None        0.23329
None        0.17224
None        0.21416
None        0.26063
None        0.20504
None        0.25152
None        0.22145
None        0.11756
None        0.17862
None        0.13578
None        0.19958
None        0.23329
None        0.28250
None        0.23694
None        0.13032
None        0.22874
None        0.26428
None        0.35996
None        0.26246
None        0.18226
None        0.14945
2.45        1.312
None        0.27430
None        0.13670
None        0.18135
None        0.11574
None        0.31258
None        0.23512
None        0.20687
None        0.18773
None        0.21507
None        0.17953
None        0.22691
None        0.18408
None        0.10662
None        0.097509
None        0.127582
None        0.097509
None        0.115735
None        0.0990277438268
None        0.24332
None        0.12849
None        0.29071
None        0.15310
None        0.21689
None        0.11027
0.0217        0.179
0.054        0.49
0.052        0.62
None        0.14216
None        0.13305
None        0.16950
None        0.12211
None        0.24970
None        0.25425
None        0.21780
None        0.25061
None        0.23603
None        0.13761
None        0.21871
None        0.18499
None        0.14125
None        0.17315
None        0.20413
None        0.11209
None        0.11118
None        0.09295
None        0.08293
None        0.25699
None        0.22509
None        0.28342
None        0.29617
        0.1971
        None
None        0.19411
None        0.14490
None        0.22418
None        0.25972
None        0.14854
None        0.16859
None        0.23420
None        0.22509
None        0.13123
None        0.23056
None        0.16312
None        0.13761
None        0.14945
None        0.16130
None        0.10936
None        0.10845
None        0.30164
None        0.14307
None        0.13670
None        0.14854
None        0.12667
None        0.13487
None        0.10936
None        0.20595
None        0.28250
0.027        0.17
0.051        0.27
0.06        0.25
None        0.0791
None        0.093
None        0.436
None        0.3419
None        0.11756
None        0.11482
None        0.24970
None        0.09933
None        0.14763
None        0.21324
None        0.19411
None        0.23785
None        0.21780
None        0.14763
None        0.16130
None        0.15948
None        0.27704
None        0.21416
None        0.20322
None        0.16859
None        0.28615
None        0.13487
None        0.26883
None        0.32625
None        0.25608
0.033        0.1459
None        0.14307
None        0.08931
None        0.12120
None        0.07382
None        0.26701
None        0.24879
None        0.23967
None        0.15583
None        0.28797
None        0.33627
None        0.42284
None        0.27157
None        0.18226
None        0.21871
None        0.15401
None        0.28433
None        0.20960
None        0.12667
None        0.17953
None        0.16768
None        0.10936
None        0.20687
None        0.14125
None        0.11118
None        0.28342
None        0.27704
None        0.36817
None        0.24605
None        0.13943
None        0.44836
None        0.35085
None        0.20049
None        0.21689
None        0.38822
None        0.18591
None        0.17588
None        0.15766
None        0.28068
None        0.34903
None        0.22145
None        0.24696
None        0.33718
None        0.31987
None        0.20322
None        0.18682
None        0.20231
None        0.11665
None        0.18226
None        0.14307
None        0.18955
None        0.12849
None        0.75274
None        0.27977
None        0.21780
None        0.15766
None        0.25152
None        0.21233
None        0.22874
None        0.34447
None        0.20049
None        0.15401
None        0.20049
None        0.12485
None        0.21233
None        0.23420
None        0.23785
None        0.18226
None        0.22327
None        0.18135
None        0.25152
None        0.21051
None        0.18682
None        0.23420
None        0.27612
None        0.19866
None        0.21324
None        0.13670
None        0.37272
None        0.35905
None        0.14945
None        0.37090
None        0.27521
None        0.13761
None        0.09933
None        0.14307
None        0.36179
None        0.31258
None        0.25334
None        0.15219
None        0.20778
None        0.19866
None        0.10298
None        0.25243
None        0.25243
None        0.12120
None        0.25243
None        0.19593
None        0.11209
None        0.24150
None        0.28888
None        0.14854
None        0.35267
None        0.19593
None        0.22783
None        0.27248
None        0.14125
None        0.19593
None        0.22600
None        0.14490
None        0.21416
None        0.49301
None        0.23785
None        0.45109
None        0.36999
None        0.32898
None        0.25516
None        0.24605
None        0.2369387
None        0.410086
0.282798        None
None        0.18317
None        0.15857
None        0.19866
None        0.18226
None        0.14945
None        0.12394
None        0.24332
None        0.22509
None        0.30346
None        0.25790
None        0.23967
None        0.16950
None        0.23603
None        0.22691
None        0.22600
None        0.35450
None        0.18044
None        0.19411
None        0.20687
None        0.23238
None        0.30802
None        0.22509
